Player,Team_Name_Abbrev,Pos,Team_Name_Full,Team_Name_Mascot
Antony Auclair,HOU,TE,Houston Texans,Texans
Le'Veon Bell,2TM,,key does not exist --> 2TM,2TM
Dez Fitzpatrick,TEN,,Tennessee Titans,Titans
Joe Fortson,KAN,,Kansas City Chiefs,Chiefs
Josh Gordon,KAN,wr,Kansas City Chiefs,Chiefs
KJ Hamler,DEN,wr,Denver Broncos,Broncos
Parker Hesse,ATL,te,Atlanta Falcons,Falcons
Tony Jones,NOR,rb,key does not exist --> NOR,NOR
Joshua Kelley,LAC,,Los Angeles Chargers,Chargers
Scott Miller,TAM,,Tampa Bay Buccaneers,Buccaneers
Colby Parkinson,SEA,te,Seattle Seahawks,Seahawks
Rodney Smith,CAR,,Carolina Panthers,Panthers
Ihmir Smith-Marsette,MIN,wr,Minnesota Vikings,Vikings
Mike Thomas,CIN,wr,Cincinnati Bengals,Bengals
Cody White,PIT,,Pittsburgh Steelers,Steelers
Charlie Woerner,SFO,te,San Francisco 49ers,49ers
Christian Blake,ATL,,Atlanta Falcons,Falcons
Kendall Blanton,LAR,te,Los Angeles Rams,Rams
C.J. Board,NYG,wr,NY Giants,Giants
Ja'Marcus Bradley,CLE,,Cleveland Browns,Browns
Jason Cabinda,DET,fb,Detroit Lions,Lions
Pharoh Cooper,NYG,,NY Giants,Giants
Tyler Davis,GNB,,Green Bay Packers,Packers
Ross Dwelley,SFO,te,San Francisco 49ers,49ers
Darren Fells,2TM,,key does not exist --> 2TM,2TM
Will Fuller,MIA,,Miami Dolphins,Dolphins
Garrett Griffin,NOR,te,key does not exist --> NOR,NOR
Chris Herndon,MIN,te,Minnesota Vikings,Vikings
Taysom Hill,NOR,qb,key does not exist --> NOR,NOR
Chris Hogan,NOR,,key does not exist --> NOR,NOR
Cody Hollister,TEN,wr,Tennessee Titans,Titans
Jermar Jefferson,DET,,Detroit Lions,Lions
Duke Johnson,MIA,rb,Miami Dolphins,Dolphins
Jakob Johnson,NWE,fb,New England Patriots,Patriots
Phillip Lindsay,2TM,,key does not exist --> 2TM,2TM
Sean McKeon,DAL,te,Dallas Cowboys,Cowboys
Kene Nwangwu,MIN,,Minnesota Vikings,Vikings
Qadree Ollison,ATL,,Atlanta Falcons,Falcons
Adrian Peterson,2TM,,key does not exist --> 2TM,2TM
Amari Rodgers,GNB,wr,Green Bay Packers,Packers
Wendell Smallwood,WAS,,Washington Commanders,Commanders
Willie Snead,2TM,,key does not exist --> 2TM,2TM
Jack Stoll,PHI,te,Philadelphia Eagles,Eagles
J.J. Taylor,NWE,,New England Patriots,Patriots
Ke'Shawn Vaughn,TAM,rb,Tampa Bay Buccaneers,Buccaneers
Kristian Wilkerson,NWE,wr,New England Patriots,Patriots
Jonathan Williams,WAS,,Washington Commanders,Commanders
Cam Akers,LAR,,Los Angeles Rams,Rams
Ryquell Armstead,JAX,,Jacksonville Jaguars,Jaguars
Malcolm Brown,MIA,rb,Miami Dolphins,Dolphins
Michael Burton,KAN,,Kansas City Chiefs,Chiefs
Greg Dortch,ARI,wr,Arizona Cardinals,Cardinals
Alex Erickson,CAR,,Carolina Panthers,Panthers
Reggie Gilliam,BUF,fb,Buffalo Bills,Bills
Demetrius Harris,ARI,te,Arizona Cardinals,Cardinals
K.J. Hill,LAC,,Los Angeles Chargers,Chargers
Tommy Hudson,TEN,,Tennessee Titans,Titans
Tyree Jackson,PHI,te,Philadelphia Eagles,Eagles
Andy Janovich,CLE,fb,Cleveland Browns,Browns
Keith Kirkwood,CAR,,Carolina Panthers,Panthers
Patrick Laird,MIA,,Miami Dolphins,Dolphins
D.J. Montgomery,NYJ,,NY Jets,Jets
Jason Moore,LAC,wr,Los Angeles Chargers,Chargers
Chris Myarick,NYG,te,NY Giants,Giants
Gabe Nabers,LAC,fb,Los Angeles Chargers,Chargers
Adam Prentice,NOR,fb,key does not exist --> NOR,NOR
Jaylen Samuels,HOU,,Houston Texans,Texans
Trey Sermon,SFO,rb,San Francisco 49ers,49ers
Kaden Smith,NYG,,NY Giants,Giants
Jeremy Sprinkle,DAL,te,Dallas Cowboys,Cowboys
Auden Tate,CIN,,Cincinnati Bengals,Bengals
Jonathan Ward,ARI,,Arizona Cardinals,Cardinals
Derek Watt,PIT,fb,Pittsburgh Steelers,Steelers
Trevon Wesco,NYJ,te,NY Jets,Jets
Mitchell Wilcox,CIN,te,Cincinnati Bengals,Bengals
Shane Zylstra,DET,,Detroit Lions,Lions
JJ Arcega-Whiteside,PHI,wr,Philadelphia Eagles,Eagles
Kalen Ballage,PIT,,Pittsburgh Steelers,Steelers
Cameron Batson,TEN,,Tennessee Titans,Titans
Khari Blasingame,TEN,fb,Tennessee Titans,Titans
Reggie Bonnafon,CAR,,Carolina Panthers,Panthers
Mike Boone,DEN,,Denver Broncos,Broncos
Daniel Brown,NYJ,,NY Jets,Jets
Derek Carrier,LVR,te,Las Vegas Raiders,Raiders
Cethan Carter,MIA,te,Miami Dolphins,Dolphins
Dominique Dafney,GNB,te,Green Bay Packers,Packers
Taylor Decker,DET,t,Detroit Lions,Lions
Darrynton Evans,TEN,,Tennessee Titans,Titans
Jesper Horsted,CHI,,Chicago Bears,Bears
Jordan Howard,PHI,,Philadelphia Eagles,Eagles
Trenton Irwin,CIN,,Cincinnati Bengals,Bengals
Tyron Johnson,2TM,,key does not exist --> 2TM,2TM
Marcus Kemp,KAN,,Kansas City Chiefs,Chiefs
Jake Kumerow,BUF,wr,Buffalo Bills,Bills
Marlon Mack,IND,,Indianapolis Colts,Colts
Racey McMath,TEN,,Tennessee Titans,Titans
Jaydon Mickens,2TM,,key does not exist --> 2TM,2TM
Stanley Morgan Jr.,CIN,wr,Cincinnati Bengals,Bengals
Dazz Newsome,CHI,wr,Chicago Bears,Bears
Gunner Olszewski,NWE,,New England Patriots,Patriots
Dezmon Patmon,IND,,Indianapolis Colts,Colts
Scottie Phillips,HOU,,Houston Texans,Texans
Kevin Rader,PIT,te,Pittsburgh Steelers,Steelers
Trey Ragas,LVR,,Las Vegas Raiders,Raiders
Richard Rodgers,PHI,,Philadelphia Eagles,Eagles
C.J. Saunders,CAR,,Carolina Panthers,Panthers
David Sills,NYG,wr,NY Giants,Giants
Benny Snell Jr.,PIT,,Pittsburgh Steelers,Steelers
Johnny Stanton,CLE,,Cleveland Browns,Browns
Luke Stocker,MIN,,Minnesota Vikings,Vikings
Mike Strachan,IND,,Indianapolis Colts,Colts
Malik Taylor,GNB,,Green Bay Packers,Packers
Patrick Taylor,GNB,,Green Bay Packers,Packers
Trent Taylor,CIN,,Cincinnati Bengals,Bengals
Tylan Wallace,BAL,wr,Baltimore Ravens,Ravens
Austin Walter,NYJ,,NY Jets,Jets
Dwayne Washington,NOR,,key does not exist --> NOR,NOR
Tyrell Williams,DET,,Detroit Lions,Lions
Ethan Wolf,NOR,te,key does not exist --> NOR,NOR
Kenny Yeboah,NYJ,,NY Jets,Jets
Alex Armah,2TM,,key does not exist --> 2TM,2TM
Nick Bawden,NYJ,fb,NY Jets,Jets
Nick Bellore,SEA,,Seattle Seahawks,Seahawks
Tarik Black,NYJ,,NY Jets,Jets
