Player,Team_Name_Abbrev,Pos,Team_Name_Full,Team_Name_Mascot
Kyle Pitts,ATL,TE,Atlanta Falcons,Falcons
Tyler Boyd,CIN,wr,Cincinnati Bengals,Bengals
Adam Thielen,MIN,WR,Minnesota Vikings,Vikings
Russell Gage,ATL,wr,Atlanta Falcons,Falcons
DeVonta Smith,PHI,WR,Philadelphia Eagles,Eagles
A.J. Brown,TEN,WR,Tennessee Titans,Titans
Laviska Shenault Jr.,JAX,wr,Jacksonville Jaguars,Jaguars
D'Andre Swift,DET,rb,Detroit Lions,Lions
Tyler Conklin,MIN,TE,Minnesota Vikings,Vikings
Tyler Higbee,LAR,TE,Los Angeles Rams,Rams
T.J. Hockenson,DET,TE,Detroit Lions,Lions
Pat Freiermuth,PIT,te,Pittsburgh Steelers,Steelers
Cole Kmet,CHI,TE,Chicago Bears,Bears
Chase Claypool,PIT,WR,Pittsburgh Steelers,Steelers
Mecole Hardman,KAN,wr,Kansas City Chiefs,Chiefs
Courtland Sutton,DEN,WR,Denver Broncos,Broncos
Brandon Aiyuk,SFO,WR,San Francisco 49ers,49ers
Dallas Goedert,PHI,TE,Philadelphia Eagles,Eagles
Kendrick Bourne,NWE,wr,New England Patriots,Patriots
Rob Gronkowski,TAM,TE,Tampa Bay Buccaneers,Buccaneers
Darren Waller,LVR,TE,Las Vegas Raiders,Raiders
A.J. Green,ARI,wr,Arizona Cardinals,Cardinals
Josh Jacobs,LVR,RB,Las Vegas Raiders,Raiders
Rondale Moore,ARI,wr,Arizona Cardinals,Cardinals
Robby Anderson,CAR,WR,Carolina Panthers,Panthers
Tim Patrick,DEN,WR,Denver Broncos,Broncos
Aaron Jones,GNB,RB,Green Bay Packers,Packers
Jarvis Landry,CLE,,Cleveland Browns,Browns
Cordarrelle Patterson,ATL,RB,Atlanta Falcons,Falcons
Jamison Crowder,NYJ,wr,NY Jets,Jets
Hunter Henry,NWE,te,New England Patriots,Patriots
Van Jefferson,LAR,WR,Los Angeles Rams,Rams
K.J. Osborn,MIN,wr,Minnesota Vikings,Vikings
Myles Gaskin,MIA,rb,Miami Dolphins,Dolphins
Dawson Knox,BUF,TE,Buffalo Bills,Bills
C.J. Uzomah,CIN,TE,Cincinnati Bengals,Bengals
Jared Cook,LAC,te,Los Angeles Chargers,Chargers
Gerald Everett,SEA,,Seattle Seahawks,Seahawks
Kalif Raymond,DET,WR,Detroit Lions,Lions
Ezekiel Elliott,DAL,RB,Dallas Cowboys,Cowboys
Zay Jones,LVR,wr,Las Vegas Raiders,Raiders
Alvin Kamara,NOR,rb,key does not exist --> NOR,NOR
Darrel Williams,KAN,rb,Kansas City Chiefs,Chiefs
Rashod Bateman,BAL,wr,Baltimore Ravens,Ravens
Braxton Berrios,NYJ,wr,NY Jets,Jets
Marquez Callaway,NOR,WR,key does not exist --> NOR,NOR
Evan Engram,NYG,TE,NY Giants,Giants
Cedrick Wilson Jr.,DAL,wr,Dallas Cowboys,Cowboys
Robert Woods,LAR,wr,Los Angeles Rams,Rams
Odell Beckham Jr.,2TM,,key does not exist --> 2TM,2TM
Mike Davis,ATL,rb,Atlanta Falcons,Falcons
Chase Edmonds,ARI,RB,Arizona Cardinals,Cardinals
J.D. McKissic,WAS,rb,Washington Commanders,Commanders
Elijah Moore,NYJ,wr,NY Jets,Jets
Quez Watkins,PHI,WR,Philadelphia Eagles,Eagles
Javonte Williams,DEN,rb,Denver Broncos,Broncos
Antonio Brown,TAM,,Tampa Bay Buccaneers,Buccaneers
Antonio Gibson,WAS,RB,Washington Commanders,Commanders
DeAndre Hopkins,ARI,wr,Arizona Cardinals,Cardinals
Joe Mixon,CIN,RB,Cincinnati Bengals,Bengals
David Montgomery,CHI,RB,Chicago Bears,Bears
Byron Pringle,KAN,wr,Kansas City Chiefs,Chiefs
Emmanuel Sanders,BUF,WR,Buffalo Bills,Bills
Saquon Barkley,NYG,RB,NY Giants,Giants
Brandon Bolden,NWE,rb,New England Patriots,Patriots
Adam Humphries,WAS,WR,Washington Commanders,Commanders
Devontae Booker,NYG,,NY Giants,Giants
Nyheim Hines,IND,rb,Indianapolis Colts,Colts
Allen Lazard,GNB,WR,Green Bay Packers,Packers
DeVante Parker,MIA,wr,Miami Dolphins,Dolphins
Devin Singletary,BUF,RB,Buffalo Bills,Bills
Jonathan Taylor,IND,RB,Indianapolis Colts,Colts
Ray-Ray McCloud,PIT,wr,Pittsburgh Steelers,Steelers
Tony Pollard,DAL,,Dallas Cowboys,Cowboys
Kadarius Toney,NYG,wr,NY Giants,Giants
Ameer Abdullah,2TM,,key does not exist --> 2TM,2TM
Austin Hooper,CLE,TE,Cleveland Browns,Browns
Jerry Jeudy,DEN,wr,Denver Broncos,Broncos
Zach Pascal,IND,WR,Indianapolis Colts,Colts
Allen Robinson,CHI,WR,Chicago Bears,Bears
Nick Westbrook-Ikhine,TEN,wr,Tennessee Titans,Titans
Nelson Agholor,NWE,WR,New England Patriots,Patriots
James Conner,ARI,rb,Arizona Cardinals,Cardinals
Kenny Golladay,NYG,WR,NY Giants,Giants
Christian McCaffrey,CAR,rb,Carolina Panthers,Panthers
Michael Carter,NYJ,RB,NY Jets,Jets
Deonte Harris,NOR,wr,key does not exist --> NOR,NOR
Tyler Johnson,TAM,wr,Tampa Bay Buccaneers,Buccaneers
David Njoku,CLE,TE,Cleveland Browns,Browns
Sterling Shepard,NYG,wr,NY Giants,Giants
Dan Arnold,2TM,,key does not exist --> 2TM,2TM
Gabriel Davis,BUF,wr,Buffalo Bills,Bills
Michael Gallup,DAL,wr,Dallas Cowboys,Cowboys
Dalvin Cook,MIN,RB,Minnesota Vikings,Vikings
Corey Davis,NYJ,wr,NY Jets,Jets
AJ Dillon,GNB,rb,Green Bay Packers,Packers
Bryan Edwards,LVR,WR,Las Vegas Raiders,Raiders
Anthony Firkser,TEN,te,Tennessee Titans,Titans
Devonta Freeman,BAL,rb,Baltimore Ravens,Ravens
Ty Johnson,NYJ,rb,NY Jets,Jets
Donovan Peoples-Jones,CLE,wr,Cleveland Browns,Browns
Durham Smythe,MIA,TE,Miami Dolphins,Dolphins
Nico Collins,HOU,wr,Houston Texans,Texans
Devin Duvernay,BAL,wr,Baltimore Ravens,Ravens
Kenneth Gainwell,PHI,rb,Philadelphia Eagles,Eagles
Albert Okwuegbunam,DEN,te,Denver Broncos,Broncos
Josh Palmer,LAC,wr,Los Angeles Chargers,Chargers
Jalen Reagor,PHI,WR,Philadelphia Eagles,Eagles
Laquon Treadwell,JAX,wr,Jacksonville Jaguars,Jaguars
David Johnson,HOU,rb,Houston Texans,Texans
Alexander Mattison,MIN,rb,Minnesota Vikings,Vikings
Tre'Quan Smith,NOR,wr,key does not exist --> NOR,NOR
Jalen Guyton,LAC,wr,Los Angeles Chargers,Chargers
Julio Jones,TEN,wr,Tennessee Titans,Titans
Calvin Ridley,ATL,wr,Atlanta Falcons,Falcons
James Robinson,JAX,RB,Jacksonville Jaguars,Jaguars
Geoff Swaim,TEN,TE,Tennessee Titans,Titans
Olamide Zaccheaus,ATL,wr,Atlanta Falcons,Falcons
Cameron Brate,TAM,te,Tampa Bay Buccaneers,Buccaneers
Kenyan Drake,LVR,rb,Las Vegas Raiders,Raiders
Kyle Juszczyk,SFO,FB,San Francisco 49ers,49ers
Foster Moreau,LVR,TE,Las Vegas Raiders,Raiders
Chester Rogers,TEN,wr,Tennessee Titans,Titans
Ricky Seals-Jones,WAS,te,Washington Commanders,Commanders
Jack Doyle,IND,,Indianapolis Colts,Colts
Darrell Henderson,LAR,rb,Los Angeles Rams,Rams
Josh Reynolds,2TM,,key does not exist --> 2TM,2TM
Randall Cobb,GNB,wr,Green Bay Packers,Packers
Keelan Cole,NYJ,WR,NY Jets,Jets
Melvin Gordon,DEN,RB,Denver Broncos,Broncos
Jeremy McNichols,TEN,,Tennessee Titans,Titans
Jonnu Smith,NWE,TE,New England Patriots,Patriots
Ryan Griffin,NYJ,TE,NY Jets,Jets
Mark Ingram,2TM,,key does not exist --> 2TM,2TM
Samaje Perine,CIN,,Cincinnati Bengals,Bengals
Adam Trautman,NOR,te,key does not exist --> NOR,NOR
Sammy Watkins,BAL,wr,Baltimore Ravens,Ravens
Damiere Byrd,CHI,wr,Chicago Bears,Bears
Hayden Hurst,ATL,te,Atlanta Falcons,Falcons
Kyle Rudolph,NYG,,NY Giants,Giants
Miles Sanders,PHI,RB,Philadelphia Eagles,Eagles
Darius Slayton,NYG,wr,NY Giants,Giants
Marquez Valdes-Scantling,GNB,wr,Green Bay Packers,Packers
Jamaal Williams,DET,RB,Detroit Lions,Lions
